total_C,total_S,P.C.deep,P.S.deep,Reach,Site,Year
2.572983671,1.088570015,1,1,ASH,ASH-03,2014
2.873563218,0.621310966,1,1,ASH,ASH-04,2014
0.78279929,1.565598581,0,0,ASH,ASH-09,2014
3.6,1.533333333,0,0,HSC,HSC-02,2014
0.666666667,0.466666666,0.1,0.285714285,HSC,HSC-05,2014
0.317567568,0.094594595,0,,PUD,PUD-N3,2014
0,2.565500307,0,0,YAK,YAK-03,2014
0.982148461,0.249868348,1,1,YAK,YAK-05,2014
2.002380953,0.355952381,0.267538645,0.25083612,YAK,YAK-07,2014
0.965517241,0.298850575,1,1,YAK,YAK-08,2014
0.875362319,0.34589372,0.238410596,0.10055866,ASH,ASH-02,2015
0.181818182,0.313852813,1,0.772413794,ASH,ASH-04,2015
0.333333333,0.24829932,0,0,ASH,ASH-07,2015
3.535714286,0.551785714,1,1,ASH,ASH-08,2015
1.785843686,0.265269151,1,1,ASH,ASH-10,2015
0.206127206,0.480963481,0.62197092,0.62197092,ASH,ASH-N1,2015
0.332606287,0.457848636,0.749453524,0.362962682,ASH,ASH-N2,2015
0.204081633,0.272108844,0,1,ASH,ASH-N3,2015
1.345160286,2.073036622,0.724664507,0.940446402,HSC,HSC-00,2015
1.537037037,1.092592593,1,1,HSC,HSC-01,2015
1.906565656,1.421717172,1,1,HSC,HSC-02,2015
0.740274415,0.824374495,0.69472307,0.554532994,HSC,HSC-03,2015
0.691752973,0.286766398,1,1,PUD,PUD-N3,2015
1.692307692,0.923076923,1,1,YAK,YAK-01,2015
0,0.214285714,0,0,YAK,YAK-02,2015
0.156862745,0.156862745,0,0,YAK,YAK-04,2015
0.177777778,0.355555556,1,1,YAK,YAK-07,2015
0.034482759,0.655172414,1,1,YAK,YAK-08,2015
0.421052632,0.421052632,0,0,KEY,KEY-01,2015
2.853968254,0.892063492,1,1,KEY,KEY-03,2015
0.841491842,0.34965035,0,0,KEY,KEY-04,2015
